word_length,count
1,10
2,134
3,1103
4,4266
5,9762
6,18110
7,29967
8,41770
9,47774
10,46229
11,41457
12,35463
13,28704
14,22453
15,17158
16,11403
17,7729
18,5188
19,3537
20,2245
21,1429
22,886
23,617
24,403
25,276
26,185
27,110
28,83
29,64
30,49
31,31
32,21
33,16
34,12
35,11
36,7
37,5
38,1
39,2
40,3
41,1
42,1
45,3
46,2
47,1
