starting_letter,count
a,19520
b,18394
c,31819
d,23384
e,15299
f,13028
g,11449
h,18588
i,13143
j,2123
k,3579
l,9972
m,27181
n,20324
o,13500
p,35714
q,3218
r,17661
s,34733
t,19668
u,12270
v,5330
w,5672
x,774
y,900
z,1643
