starting_letter,count
a,19510
b,18363
c,31791
d,23363
e,15294
f,13021
g,11443
h,18577
i,13142
j,2120
k,3579
l,9967
m,27177
n,20300
o,13499
p,35709
q,3218
r,17659
s,34719
t,19654
u,12267
v,5326
w,5669
x,774
y,899
z,1641
