stem,stratum,in_wordnet,wordnet_pos,forms,n_forms,stem_intake,seed,rank_key
angry,agent-plural,True,as,angriers,1,twl_scrabble_dictionary,20260814,0c0c908b4ada9615
barky,agent-plural,True,s,barkiers,1,twl_scrabble_dictionary,20260814,01233527c4cf095b
barmie,agent-plural,False,,barmiers,1,twl_scrabble_dictionary,20260814,10e1f5ca688ad78e
chesty,agent-plural,True,s,chestiers,1,twl_scrabble_dictionary,20260814,171366e66751728f
cliquy,agent-plural,False,,cliquiers,1,twl_scrabble_dictionary,20260814,0cfea281042c97c1
discreet,agent-plural,True,as,discreeters,1,twl_scrabble_dictionary,20260814,079a3908ba1d9931
distinct,agent-plural,True,as,distincters,1,twl_scrabble_dictionary,20260814,07c27647310c9c88
dropside,agent-plural,False,,dropsiders,1,,20260814,032c78163c9648e5
drossy,agent-plural,False,,drossiers,1,twl_scrabble_dictionary,20260814,025e0fe30628c684
elmy,agent-plural,False,,elmiers,1,twl_scrabble_dictionary,20260814,0c28909702a94827
flappy,agent-plural,False,,flappiers,1,twl_scrabble_dictionary,20260814,0262932074cb1aea
forky,agent-plural,False,,forkiers,1,twl_scrabble_dictionary,20260814,0b506bde4919143c
forlorn,agent-plural,True,s,forlorners,1,twl_scrabble_dictionary,20260814,0e17f12c769a0665
gapfill,agent-plural,False,,gapfillers,1,,20260814,04049ed1e1614ebc
horrid,agent-plural,True,s,horriders,1,twl_scrabble_dictionary,20260814,0a50928c985648df
impure,agent-plural,True,a,impurers,1,twl_scrabble_dictionary,20260814,0f38e0fdf38658c4
luny,agent-plural,False,,luniers,1,twl_scrabble_dictionary,20260814,018cca6ecddaeb5f
measly,agent-plural,True,s,measliers,1,twl_scrabble_dictionary,20260814,0dd488c658791ee4
microdigest,agent-plural,False,,microdigesters,1,,20260814,1653bcbf4a042190
microgrind,agent-plural,False,,microgrinders,1,,20260814,13ad5df7862a48ca
peacocky,agent-plural,False,,peacockiers,1,twl_scrabble_dictionary,20260814,0e9426d5e6f6f567
redact,agent-plural,True,nv,redacters,1,twl_scrabble_dictionary,20260814,0f93492970590056
scurfy,agent-plural,True,as,scurfiers,1,twl_scrabble_dictionary,20260814,01f08711f0c19032
silly,agent-plural,True,ns,silliers,1,twl_scrabble_dictionary,20260814,11292db6a6c62feb
snotty,agent-plural,True,s,snottiers,1,twl_scrabble_dictionary,20260814,0ed15ce84cb9d177
spiky,agent-plural,True,s,spikiers,1,twl_scrabble_dictionary,20260814,0a8bfeaf150e62a0
squirmy,agent-plural,False,,squirmiers,1,twl_scrabble_dictionary,20260814,1728151a431a46e7
stagy,agent-plural,True,s,stagiers,1,twl_scrabble_dictionary,20260814,048a477028c23c68
tardy,agent-plural,True,s,tardiers,1,twl_scrabble_dictionary,20260814,141fd405151d083e
window,agent-plural,True,n,windowers,1,twl_scrabble_dictionary,20260814,0c8dd777aae95ff5
