stem,stage,stratum,outcome,action,forms,n_forms,forms_listed,forms_missing,deciding_source,stem_status,mw_stems,part_of_speech,decided_date
personable,3,wn-adj,inflection-absent,none,personablest,1,,personablest,collegiate,valid,personable personableness personablenesses,adjective,2026-08-14
phlegmatic,3,wn-adj,inflection-absent,none,phlegmaticer phlegmaticest,2,,phlegmaticer phlegmaticest,collegiate,valid,phlegmatic phlegmatically,adjective,2026-08-14
pinnatifid,3,wn-adj,inflection-absent,none,pinnatifider pinnatifidest,2,,pinnatifider pinnatifidest,collegiate,valid,pinnatifid,adjective,2026-08-14
plenteous,3,wn-adj,inflection-absent,none,plenteouser,1,,plenteouser,collegiate,valid,plenteous plenteously plenteousness plenteousnesses,adjective,2026-08-14
polyestrous,3,wn-adj,inflection-absent,none,polyestrouser polyestrousest,2,,polyestrouser polyestrousest,collegiate,valid,polyestrous,adjective,2026-08-14
predominant,3,wn-adj,inflection-absent,none,predominanter predominantest,2,,predominanter predominantest,collegiate,valid,predominant,adjective,2026-08-14
quantitative,3,wn-adj,inflection-absent,none,quantitativest,1,,quantitativest,collegiate,valid,quantitative quantitatively quantitativeness quantitativenesses,adjective,2026-08-14
rampant,3,wn-adj,inflection-absent,none,rampanter rampantest,2,,rampanter rampantest,collegiate,valid,rampant rampantly,adjective,2026-08-14
rateable,3,wn-adj,inflection-absent,none,rateabler rateablest,2,,rateabler rateablest,collegiate,valid,ratable ratably rateable,adjective,2026-08-14
recalcitrant,3,wn-adj,inflection-absent,none,recalcitranter recalcitrantest,2,,recalcitranter recalcitrantest,collegiate,valid,recalcitrant recalcitrants,adjective,2026-08-14
renascent,3,wn-adj,inflection-absent,none,renascenter renascentest,2,,renascenter renascentest,collegiate,valid,renascent,adjective,2026-08-14
riotous,3,wn-adj,inflection-absent,none,riotouser riotousest,2,,riotouser riotousest,collegiate,valid,riotous riotously riotousness riotousnesses,adjective,2026-08-14
salable,3,wn-adj,inflection-absent,none,salabler salablest,2,,salabler salablest,collegiate,valid,salabilities salability salable saleable,adjective,2026-08-14
sanctimonious,3,wn-adj,inflection-absent,none,sanctimoniouser sanctimoniousest,2,,sanctimoniouser sanctimoniousest,collegiate,valid,sanctimonious sanctimoniously sanctimoniousness sanctimoniousnesses,adjective,2026-08-14
saporous,3,wn-adj,mw-absent,none,saporouser saporousest,2,,,,,,,2026-08-14
sibilant,3,wn-adj,inflection-absent,none,sibilanter sibilantest,2,,sibilanter sibilantest,collegiate,valid,sibilant sibilantly,adjective,2026-08-14
submergible,3,wn-adj,inflection-absent,none,submergibler submergiblest,2,,submergibler submergiblest,collegiate,valid,submerge submerged submergence submergences submerges submergible submerging,verb,2026-08-14
supranational,3,wn-adj,inflection-absent,none,supranationalest,1,,supranationalest,collegiate,valid,supranational supranationalist supranationalists supranationalities supranationality,adjective,2026-08-14
sustainable,3,wn-adj,inflection-absent,none,sustainabler sustainablest,2,,sustainabler sustainablest,collegiate,valid,sustainabilities sustainability sustainable sustainably,adjective,2026-08-14
syndetic,3,wn-adj,inflection-absent,none,syndeticcer syndeticcest,2,,syndeticcer syndeticcest,collegiate,valid,syndetic syndetically,adjective,2026-08-14
tameable,3,wn-adj,inflection-absent,none,tameablest,1,,tameablest,collegiate,valid,tamable tame tameable tamed tamer tamers tames taming,verb,2026-08-14
titanic,3,wn-adj,inflection-absent,none,titanicer titanicest,2,,titanicer titanicest,collegiate,valid,titanic titanically,adjective,2026-08-14
transpolar,3,wn-adj,inflection-absent,none,transpolarest,1,,transpolarest,collegiate,valid,transpolar,adjective,2026-08-14
tuneless,3,wn-adj,inflection-absent,none,tunelesser tunelessest,2,,tunelesser tunelessest,collegiate,valid,tuneless tunelessly,adjective,2026-08-14
unbloody,3,wn-adj,mw-absent,none,unbloodier unbloodiest,2,,,,,,,2026-08-14
unbreakable,3,wn-adj,inflection-absent,none,unbreakabler unbreakablest,2,,unbreakabler unbreakablest,collegiate,valid,unbreakable,adjective,2026-08-14
unbridgeable,3,wn-adj,inflection-absent,none,unbridgeabler unbridgeablest,2,,unbridgeabler unbridgeablest,collegiate,valid,unbridgeable,adjective,2026-08-14
unclad,3,wn-adj,inflection-absent,none,uncladder uncladdest,2,,uncladder uncladdest,collegiate,valid,unclad,adjective,2026-08-14
uncoerced,3,wn-adj,inflection-absent,none,uncoerceder uncoercedest,2,,uncoerceder uncoercedest,collegiate,valid,uncoerced,adjective,2026-08-14
uncontrollable,3,wn-adj,inflection-absent,none,uncontrollabler uncontrollablest,2,,uncontrollabler uncontrollablest,collegiate,valid,uncontrollabilities uncontrollability uncontrollable uncontrollably,adjective,2026-08-14
uncreative,3,wn-adj,inflection-absent,none,uncreativer uncreativest,2,,uncreativer uncreativest,collegiate,valid,uncreative,adjective,2026-08-14
uncrossed,3,wn-adj,inflection-absent,none,uncrosseder uncrossedest,2,,uncrosseder uncrossedest,collegiate,valid,uncross uncrossed uncrosses uncrossing,verb,2026-08-14
undecided,3,wn-adj,inflection-absent,none,undecideder undecidedest,2,,undecideder undecidedest,collegiate,valid,undecided,adjective,2026-08-14
undersexed,3,wn-adj,inflection-absent,none,undersexeder undersexedest,2,,undersexeder undersexedest,collegiate,valid,undersexed,adjective,2026-08-14
unfed,3,wn-adj,no-stems-array,none,unfedder unfeddest,2,,unfedder unfeddest,free,valid,,noun,2026-08-14
unhopeful,3,wn-adj,inflection-absent,none,unhopefuler unhopefulest,2,,unhopefuler unhopefulest,collegiate,valid,unhopeful,adjective,2026-08-14
uppish,3,wn-adj,inflection-absent,none,uppisher uppishest,2,,uppisher uppishest,collegiate,valid,uppish uppishly uppishness uppishnesses,adjective,2026-08-14
urban,3,wn-adj,inflection-absent,none,urbannest,1,,urbannest,collegiate,valid,urban,adjective,2026-08-14
usual,3,wn-adj,inflection-absent,none,usualer usualest,2,,usualer usualest,collegiate,valid,usual usualness usualnesses,adjective,2026-08-14
aviary,3,wn-other,inflection-absent,none,aviarier aviariest,2,,aviarier aviariest,collegiate,valid,aviaries aviary,noun,2026-08-14
bassi,3,wn-other,inflection-absent,none,bassier bassiest,2,,bassier bassiest,collegiate,valid,bassi basso bassos,noun,2026-08-14
bawdry,3,wn-other,inflection-absent,none,bawdrier bawdriest,2,,bawdrier bawdriest,collegiate,valid,bawdries bawdry,noun,2026-08-14
bittern,3,wn-other,inflection-absent,none,bitternest,1,,bitternest,collegiate,valid,bittern bitterns,noun,2026-08-14
blockhead,3,wn-other,inflection-absent,none,blockheader,1,,blockheader,collegiate,valid,blockhead blockheads,noun,2026-08-14
brandish,3,wn-other,inflection-absent,none,brandisher,1,,brandisher,collegiate,valid,brandish brandished brandishes brandishing,verb,2026-08-14
briar,3,wn-other,inflection-absent,none,briarer,1,,briarer,collegiate,valid,briar briars briary brier briers briery,noun,2026-08-14
cittern,3,wn-other,inflection-absent,none,citterner,1,,citterner,collegiate,valid,cithern citherns cithren cithrens cittern citterns,noun,2026-08-14
extricate,3,wn-other,inflection-absent,none,extricater,1,,extricater,collegiate,valid,extricable extricate extricated extricates extricating extrication extrications,verb,2026-08-14
famish,3,wn-other,inflection-absent,none,famisher famishest,2,,famisher famishest,collegiate,valid,famish famished famishes famishing famishment famishments,verb,2026-08-14
fishplate,3,wn-other,inflection-absent,none,fishplater,1,,fishplater,collegiate,valid,fishplate fishplates,noun,2026-08-14
fractionate,3,wn-other,inflection-absent,none,fractionatest,1,,fractionatest,collegiate,valid,fractionate fractionated fractionates fractionating fractionation fractionations fractionator fractionators,verb,2026-08-14
hatful,3,wn-other,mw-absent,none,hatfuler hatfulest,2,,,,,,,2026-08-14
hive,3,wn-other,inflection-absent,none,hiver,1,,hiver,collegiate,valid,hive hiveless hives,noun,2026-08-14
imbrue,3,wn-other,inflection-absent,none,imbrueer,1,,imbrueer,collegiate,valid,embrue embrued embrues embruing imbrue imbrued imbrues imbruing,verb,2026-08-14
inpour,3,wn-other,mw-absent,none,inpourer,1,,,,,,,2026-08-14
intersect,3,wn-other,inflection-absent,none,intersecter,1,,intersecter,collegiate,valid,intersect intersected intersecting intersects,verb,2026-08-14
joss,3,wn-other,inflection-absent,none,josser,1,,josser,collegiate,valid,joss josses,noun,2026-08-14
kinked,3,wn-other,inflection-absent,none,kinkeder kinkedest,2,,kinkeder kinkedest,collegiate,valid,kink kinked kinking kinks,verb,2026-08-14
lid,3,wn-other,inflection-absent,none,liddest,1,,liddest,collegiate,valid,lid lids,noun,2026-08-14
lute,3,wn-other,inflection-absent,none,luter,1,,luter,collegiate,valid,lute lutes,noun,2026-08-14
lyrebird,3,wn-other,inflection-absent,none,lyrebirder,1,,lyrebirder,collegiate,valid,lyrebird lyrebirds,noun,2026-08-14
mattock,3,wn-other,inflection-absent,none,mattocker mattockest,2,,mattocker mattockest,collegiate,valid,mattock mattocks,noun,2026-08-14
microtome,3,wn-other,inflection-absent,none,microtomer,1,,microtomer,collegiate,valid,microtome microtomes,noun,2026-08-14
misconceive,3,wn-other,inflection-absent,none,misconceivest,1,,misconceivest,collegiate,valid,misconceive misconceived misconceiver misconceivers misconceives misconceiving,verb,2026-08-14
narwhal,3,wn-other,inflection-absent,none,narwhaler,1,,narwhaler,collegiate,valid,narwhal narwhale narwhales narwhals,noun,2026-08-14
neuroleptic,3,wn-other,inflection-absent,none,neurolepticer neurolepticest,2,,neurolepticer neurolepticest,collegiate,valid,neuroleptic neuroleptics,noun,2026-08-14
octonary,3,wn-other,no-stems-array,none,octonarier octonariest,2,,octonarier octonariest,free,valid,,noun,2026-08-14
overture,3,wn-other,inflection-absent,none,overturer,1,,overturer,collegiate,valid,overture overtures,noun,2026-08-14
polytechnic,3,wn-other,inflection-absent,none,polytechnicer polytechnicest,2,,polytechnicer polytechnicest,collegiate,valid,polytechnic,adjective,2026-08-14
presuppose,3,wn-other,inflection-absent,none,presupposest,1,,presupposest,collegiate,valid,presuppose presupposed presupposes presupposing presupposition presuppositional presuppositions,verb,2026-08-14
puke,3,wn-other,inflection-absent,none,puker pukest,2,,puker pukest,collegiate,valid,puke puke her guts out puke his guts out puke my guts out puke one's guts out puke their guts out puke your guts out puked pukes puking,verb,2026-08-14
puss,3,wn-other,inflection-absent,none,pusser,1,,pusser,collegiate,valid,puss pusses,noun,2026-08-14
reassign,3,wn-other,inflection-absent,none,reassigner,1,,reassigner,collegiate,valid,reassign reassigned reassigning reassignment reassignments reassigns,verb,2026-08-14
rename,3,wn-other,inflection-absent,none,renamest,1,,renamest,collegiate,valid,rename renamed renames renaming,verb,2026-08-14
scintillate,3,wn-other,inflection-absent,none,scintillater scintillatest,2,,scintillater scintillatest,collegiate,valid,scintillate scintillated scintillates scintillating scintillator scintillators,verb,2026-08-14
secern,3,wn-other,inflection-absent,none,secerner secernest,2,,secerner secernest,collegiate,valid,secern secerned secerning secerns,verb,2026-08-14
selachian,3,wn-other,inflection-absent,none,selachianer selachianest,2,,selachianer selachianest,collegiate,valid,selachian selachians,noun,2026-08-14
semaphore,3,wn-other,inflection-absent,none,semaphorer semaphorest,2,,semaphorer semaphorest,collegiate,valid,semaphore semaphores,noun,2026-08-14
socialise,3,wn-other,inflection-absent,none,socialiser,1,,socialiser,collegiate,valid,socialise socialised socialises socialising socialize,,2026-08-14
sous,3,wn-other,inflection-absent,none,sousest,1,,sousest,collegiate,valid,sou sous,noun,2026-08-14
spoor,3,wn-other,inflection-absent,none,spoorer,1,,spoorer,collegiate,valid,spoor spoors,noun,2026-08-14
surfbird,3,wn-other,inflection-absent,none,surfbirder,1,,surfbirder,collegiate,valid,surfbird surfbirds,noun,2026-08-14
thermogram,3,wn-other,inflection-absent,none,thermogramer,1,,thermogramer,collegiate,valid,thermogram thermograms,noun,2026-08-14
underestimate,3,wn-other,inflection-absent,none,underestimater,1,,underestimater,collegiate,valid,underestimate underestimated underestimates underestimating underestimation underestimations,verb,2026-08-14
undervalue,3,wn-other,inflection-absent,none,undervalueer undervalueest,2,,undervalueer undervalueest,collegiate,valid,undervalue undervalued undervalues undervaluing,verb,2026-08-14
unreeled,3,wn-other,inflection-absent,none,unreeleder unreeledest,2,,unreeleder unreeledest,collegiate,valid,unreel unreeled unreeling unreels,verb,2026-08-14
vivisect,3,wn-other,inflection-absent,none,vivisecter,1,,vivisecter,collegiate,valid,vivisect vivisected vivisecting vivisector vivisectors vivisects,verb,2026-08-14
weatherboard,3,wn-other,inflection-absent,none,weatherboarder,1,,weatherboarder,collegiate,valid,weatherboard weatherboarded weatherboards,noun,2026-08-14
zill,3,wn-other,mw-absent,none,ziller zillest,2,,,,,,,2026-08-14
