stem,stage,stratum,outcome,action,forms,n_forms,forms_listed,forms_missing,deciding_source,stem_status,mw_stems,part_of_speech,decided_date
angry,3,agent-plural,inflection-absent,none,angriers,1,,angriers,collegiate,valid,angrier angriest angrily angriness angrinesses angry,adjective,2026-08-14
barky,3,agent-plural,inflection-absent,none,barkiers,1,,barkiers,collegiate,valid,barkier barkiest barky,adjective,2026-08-14
barmie,3,agent-plural,mw-absent,none,barmiers,1,,,,,,,2026-08-14
chesty,3,agent-plural,inflection-absent,none,chestiers,1,,chestiers,collegiate,valid,chestier chestiest chesty,adjective,2026-08-14
cliquy,3,agent-plural,inflection-absent,none,cliquiers,1,,cliquiers,collegiate,valid,clique cliques cliquey cliquier cliquiest cliquish cliquishly cliquishness cliquishnesses cliquy,noun,2026-08-14
discreet,3,agent-plural,inflection-absent,none,discreeters,1,,discreeters,collegiate,valid,discreet discreeter discreetest discreetly discreetness discreetnesses,adjective,2026-08-14
distinct,3,agent-plural,inflection-absent,none,distincters,1,,distincters,collegiate,valid,distinct distincter distinctest distinctly distinctness distinctnesses,adjective,2026-08-14
dropside,3,agent-plural,mw-absent,none,dropsiders,1,,,,,,,2026-08-14
drossy,3,agent-plural,inflection-absent,none,drossiers,1,,drossiers,collegiate,valid,dross drosses drossier drossiest drossy,noun,2026-08-14
elmy,3,agent-plural,mw-absent,none,elmiers,1,,,,,,,2026-08-14
flappy,3,agent-plural,inflection-absent,none,flappiers,1,,flappiers,collegiate,valid,flappier flappiest flappy,adjective,2026-08-14
forky,3,agent-plural,inflection-absent,none,forkiers,1,,forkiers,collegiate,valid,forkier forkiest forky,adjective,2026-08-14
forlorn,3,agent-plural,inflection-absent,none,forlorners,1,,forlorners,collegiate,valid,forlorn forlorner forlornest forlornly forlornness forlornnesses,adjective,2026-08-14
gapfill,3,agent-plural,mw-absent,none,gapfillers,1,,,,,,,2026-08-14
horrid,3,agent-plural,inflection-absent,none,horriders,1,,horriders,collegiate,valid,horrid horrider horridest horridly horridness horridnesses,adjective,2026-08-14
impure,3,agent-plural,inflection-absent,none,impurers,1,,impurers,collegiate,valid,impure impurely impureness impurenesses,adjective,2026-08-14
luny,3,agent-plural,mw-absent,none,luniers,1,,,,,,,2026-08-14
measly,3,agent-plural,inflection-absent,none,measliers,1,,measliers,collegiate,valid,measlier measliest measly,adjective,2026-08-14
microdigest,3,agent-plural,mw-absent,none,microdigesters,1,,,,,,,2026-08-14
microgrind,3,agent-plural,mw-absent,none,microgrinders,1,,,,,,,2026-08-14
peacocky,3,agent-plural,inflection-absent,none,peacockiers,1,,peacockiers,collegiate,valid,peacock peacockier peacockiest peacockish peacocks peacocky,noun,2026-08-14
redact,3,agent-plural,inflection-absent,none,redacters,1,,redacters,collegiate,valid,redact redacted redacting redacts,verb,2026-08-14
scurfy,3,agent-plural,inflection-absent,none,scurfiers,1,,scurfiers,collegiate,valid,scurf scurfier scurfiest scurfs scurfy,noun,2026-08-14
silly,3,agent-plural,inflection-absent,none,silliers,1,,silliers,collegiate,valid,knock silly knocked silly knocking silly knocks silly sillier silliest sillily silliness sillinesses silly,adjective,2026-08-14
snotty,3,agent-plural,inflection-absent,none,snottiers,1,,snottiers,collegiate,valid,snottier snottiest snottily snottiness snottinesses snotty,adjective,2026-08-14
spiky,3,agent-plural,inflection-absent,none,spikiers,1,,spikiers,collegiate,valid,spikey spikier spikiest spikily spikiness spikinesses spiky,adjective,2026-08-14
squirmy,3,agent-plural,inflection-absent,none,squirmiers,1,,squirmiers,collegiate,valid,squirm squirmed squirmier squirmiest squirming squirms squirmy,verb,2026-08-14
