stem,stratum,in_wordnet,wordnet_pos,forms,n_forms,stem_intake
accentology,plural,False,,accentologies,1,
acceptant,plural,True,s,acceptants,1,twl_scrabble_dictionary
accessorization,plural,False,,accessorizations,1,
acclaim,gerund-plural,True,nv,acclaimings,1,twl_scrabble_dictionary
acclimational,plural,False,,acclimationals,1,
acclimatise,gerund-plural,True,v,acclimatisings,1,twl_scrabble_dictionary
acclimatize,gerund-plural,True,v,acclimatizings,1,twl_scrabble_dictionary
acclinate,plural,False,,acclinates,1,
acclinate,verb-form,False,,acclinated acclinating,2,
accolade,gerund-plural,True,n,accoladings,1,twl_scrabble_dictionary
accouch,gerund-plural,False,,accouchings,1,
accouter,gerund-plural,True,v,accouterings,1,twl_scrabble_dictionary
accustom,gerund-plural,True,v,accustomings,1,twl_scrabble_dictionary
acephalic,plural,False,,acephalics,1,twl_scrabble_dictionary
acephaline,plural,False,,acephalines,1,
acephate,plural,False,,acephates,1,
acepromazine,plural,False,,acepromazines,1,
acerbate,gerund-plural,True,v,acerbatings,1,twl_scrabble_dictionary
acerbic,plural,True,s,acerbics,1,twl_scrabble_dictionary
acerolas,plural,True,n,acerolases,1,twl_scrabble_dictionary
acervose,verb-form,False,,acervosed,1,
acervula,verb-form,False,,acervulaed,1,
acesulfamate,plural,False,,acesulfamates,1,
acesulfamate,verb-form,False,,acesulfamated acesulfamating,2,
acetamid,verb-form,False,,acetamided acetamiding,2,twl_scrabble_dictionary
acetanilid,verb-form,True,n,acetanilided acetaniliding,2,twl_scrabble_dictionary
acetarsone,plural,False,,acetarsones,1,
acetophenetidin,plural,True,n,acetophenetidins,1,twl_scrabble_dictionary
acetyl,verb-form,True,n,acetyled acetyling,2,twl_scrabble_dictionary
ache,gerund-plural,True,nv,achings,1,twl_scrabble_dictionary
achenial,plural,True,a,achenials,1,twl_scrabble_dictionary
achiote,verb-form,False,,achioted achioting,2,twl_scrabble_dictionary
acholias,plural,True,n,acholiases,1,twl_scrabble_dictionary
achromatize,gerund-plural,True,v,achromatizings,1,twl_scrabble_dictionary
achromy,plural,False,,achromies,1,
acicula,plural,True,n,aciculaes,1,twl_scrabble_dictionary
aciculate,plural,True,a,aciculates,1,twl_scrabble_dictionary
aciculate,verb-form,True,a,aciculated aciculating,2,twl_scrabble_dictionary
acidifuge,plural,False,,acidifuges,1,
acidify,gerund-plural,True,v,acidifyings,1,twl_scrabble_dictionary
acidize,gerund-plural,False,,acidizings,1,
acidobacteriota,plural,False,,acidobacteriotas,1,
acidocline,plural,False,,acidoclines,1,
acidometry,plural,False,,acidometries,1,
acidophilic,plural,True,s,acidophilics,1,
acidotolerant,plural,False,,acidotolerants,1,
acidproof,plural,False,,acidproofs,1,
acidulate,gerund-plural,True,v,acidulatings,1,twl_scrabble_dictionary
acierate,gerund-plural,False,,acieratings,1,twl_scrabble_dictionary
acinonychinae,plural,False,,acinonychinaes,1,
acousmatization,plural,False,,acousmatizations,1,
acousmonium,plural,False,,acousmoniums,1,
acovenoside,plural,False,,acovenosides,1,
acquaint,gerund-plural,True,v,acquaintings,1,twl_scrabble_dictionary
acquiesce,gerund-plural,True,v,acquiescings,1,twl_scrabble_dictionary
acquisitional,plural,False,,acquisitionals,1,twl_scrabble_dictionary
acrivastine,plural,False,,acrivastines,1,
acrobalance,plural,False,,acrobalances,1,
acrogamy,plural,False,,acrogamies,1,
acrohyperkeratosis,plural,False,,acrohyperkeratosises,1,
acrokeratosis,plural,False,,acrokeratosises,1,
acromelanic,plural,False,,acromelanics,1,
acromelanism,plural,False,,acromelanisms,1,
acrometer,plural,False,,acrometers,1,
acromia,plural,True,n,acromias,1,twl_scrabble_dictionary
acromial,plural,False,,acromials,1,twl_scrabble_dictionary
acromioclavicular,plural,False,,acromioclaviculars,1,
acromionectomy,plural,False,,acromionectomies,1,
acronic,plural,False,,acronics,1,twl_scrabble_dictionary
acropetal,plural,True,a,acropetals,1,twl_scrabble_dictionary
acrophallus,plural,False,,acrophalluses,1,
acrophobiac,plural,False,,acrophobiacs,1,
acropodial,plural,False,,acropodials,1,
acrotic,plural,False,,acrotics,1,twl_scrabble_dictionary
acrylate,gerund-plural,True,n,acrylatings,1,twl_scrabble_dictionary
acryloyloxyethyl,plural,False,,acryloyloxyethyls,1,
acrylylcholine,plural,False,,acrylylcholines,1,
actable,plural,True,a,actables,1,twl_scrabble_dictionary
actigraphy,plural,False,,actigraphies,1,
actin,verb-form,True,n,actined,1,twl_scrabble_dictionary
actinias,plural,True,n,actiniases,1,twl_scrabble_dictionary
actinobacteria,plural,False,,actinobacterias,1,extended_domain_sources
actinomyces,plural,True,n,actinomyceses,1,twl_scrabble_dictionary
actinula,plural,False,,actinulas,1,
actionability,plural,False,,actionabilities,1,
activatory,plural,False,,activatories,1,
activisation,plural,False,,activisations,1,
activize,gerund-plural,False,,activizings,1,twl_scrabble_dictionary
actography,plural,False,,actographies,1,
actuate,gerund-plural,True,v,actuatings,1,twl_scrabble_dictionary
acuminate,gerund-plural,True,sv,acuminatings,1,twl_scrabble_dictionary
acuminulate,plural,False,,acuminulates,1,
acuminulate,verb-form,False,,acuminulated acuminulating,2,
acylate,gerund-plural,False,,acylatings,1,twl_scrabble_dictionary
acylquinolinium,plural,False,,acylquinoliniums,1,
additivation,plural,False,,additivations,1,
addressability,plural,False,,addressabilities,1,
adducent,plural,True,a,adducents,1,twl_scrabble_dictionary
adenoviral,plural,False,,adenovirals,1,twl_scrabble_dictionary
adhibit,gerund-plural,False,,adhibitings,1,twl_scrabble_dictionary
adipate,verb-form,False,,adipated adipating,2,
adipose,verb-form,True,s,adiposing,1,twl_scrabble_dictionary
adjourn,gerund-plural,True,v,adjournings,1,twl_scrabble_dictionary
adjudge,gerund-plural,True,v,adjudgings,1,twl_scrabble_dictionary
adjudicate,gerund-plural,True,v,adjudicatings,1,twl_scrabble_dictionary
admeasure,gerund-plural,True,v,admeasurings,1,twl_scrabble_dictionary
administrable,plural,True,s,administrables,1,twl_scrabble_dictionary
administrate,gerund-plural,True,v,administratings,1,twl_scrabble_dictionary
adobo,verb-form,True,n,adoboed adoboing,2,twl_scrabble_dictionary
adonidin,plural,False,,adonidins,1,
adoze,plural,False,,adozes,1,twl_scrabble_dictionary
adsorbed,plural,True,v,adsorbeds,1,twl_scrabble_dictionary
adulterate,gerund-plural,True,sv,adulteratings,1,twl_scrabble_dictionary
adulterine,plural,True,s,adulterines,1,twl_scrabble_dictionary
adumbrate,gerund-plural,True,v,adumbratings,1,twl_scrabble_dictionary
aduncate,plural,False,,aduncates,1,twl_scrabble_dictionary
adust,plural,True,s,adusts,1,twl_scrabble_dictionary
advantage,gerund-plural,True,nv,advantagings,1,twl_scrabble_dictionary
advect,gerund-plural,True,v,advectings,1,twl_scrabble_dictionary
adventitial,plural,True,a,adventitials,1,twl_scrabble_dictionary
advert,gerund-plural,True,nv,advertings,1,twl_scrabble_dictionary
advertize,gerund-plural,True,v,advertizings,1,twl_scrabble_dictionary
advise,gerund-plural,True,v,advisings,1,twl_scrabble_dictionary
advocate,gerund-plural,True,nv,advocatings,1,twl_scrabble_dictionary
adz,gerund-plural,True,n,adzings,1,twl_scrabble_dictionary
aedes,plural,True,n,aedeses,1,twl_scrabble_dictionary
aegyrite,plural,False,,aegyrites,1,
aemulation,plural,False,,aemulations,1,
aemulatrix,plural,False,,aemulatrixes,1,
aequidistant,plural,False,,aequidistants,1,
aequivalve,plural,False,,aequivalves,1,
aequivocation,plural,False,,aequivocations,1,
aerate,gerund-plural,True,v,aeratings,1,twl_scrabble_dictionary
aerialism,plural,False,,aerialisms,1,
aerialization,plural,False,,aerializations,1,
aerialize,gerund-plural,False,,aerializings,1,
aerify,gerund-plural,True,v,aerifyings,1,twl_scrabble_dictionary
aero,plural,False,,aeros,1,twl_scrabble_dictionary
aeroassist,gerund-plural,False,,aeroassistings,1,
aeroassist,plural,False,,aeroassists,1,
aerobactin,plural,False,,aerobactins,1,
aerobicity,plural,False,,aerobicities,1,
aerobicize,gerund-plural,False,,aerobicizings,1,twl_scrabble_dictionary
aerobrake,gerund-plural,False,,aerobrakings,1,twl_scrabble_dictionary
aerocapture,gerund-plural,False,,aerocapturings,1,
aerocarriage,plural,False,,aerocarriages,1,
aerochemistry,plural,False,,aerochemistries,1,
aerochlorination,plural,False,,aerochlorinations,1,
aeroconvective,plural,False,,aeroconvectives,1,
aerodispersion,plural,False,,aerodispersions,1,
aeroecology,plural,False,,aeroecologies,1,
aerogramme,verb-form,True,n,aerogrammed aerogramming,2,twl_scrabble_dictionary
aerogravimetry,plural,False,,aerogravimetries,1,
aerohydraulic,plural,False,,aerohydraulics,1,
aeromagnetometry,plural,False,,aeromagnetometries,1,
