stem,stratum,in_wordnet,wordnet_pos,forms,n_forms,stem_intake
aerometer,verb-form,False,,aerometered aerometering,2,twl_scrabble_dictionary
aeromobility,plural,False,,aeromobilities,1,
aeromodel,gerund-plural,False,,aeromodelings,1,
aeromonas,plural,False,,aeromonases,1,
aeronaval,plural,False,,aeronavals,1,
aeronavigation,plural,False,,aeronavigations,1,
aeropainting,plural,False,,aeropaintings,1,
aerophagic,plural,False,,aerophagics,1,
aerophilatelist,plural,False,,aerophilatelists,1,
aerophotogrammetry,plural,False,,aerophotogrammetries,1,
aerosolize,gerund-plural,True,v,aerosolizings,1,twl_scrabble_dictionary
aerotow,gerund-plural,False,,aerotowings,1,
aesculine,plural,False,,aesculines,1,
aesthesiology,plural,False,,aesthesiologies,1,
aesthesiometric,plural,False,,aesthesiometrics,1,
aesthesiometry,plural,False,,aesthesiometries,1,
aestheticize,gerund-plural,False,,aestheticizings,1,twl_scrabble_dictionary
aesthetise,gerund-plural,False,,aesthetisings,1,
aestuate,plural,False,,aestuates,1,
aestuate,verb-form,False,,aestuated,1,
aeternity,plural,False,,aeternities,1,
afars,plural,False,,afarses,1,twl_scrabble_dictionary
affiance,gerund-plural,True,v,affiancings,1,twl_scrabble_dictionary
affiliate,gerund-plural,True,nv,affiliatings,1,
affixedness,plural,False,,affixednesses,1,
afflict,gerund-plural,True,v,afflictings,1,twl_scrabble_dictionary
affray,gerund-plural,True,n,affrayings,1,twl_scrabble_dictionary
affricate,gerund-plural,True,n,affricatings,1,twl_scrabble_dictionary
affright,gerund-plural,True,nv,affrightings,1,twl_scrabble_dictionary
affront,gerund-plural,True,nv,affrontings,1,twl_scrabble_dictionary
afghanis,plural,True,n,afghanises,1,twl_scrabble_dictionary
aforegoing,plural,False,,aforegoings,1,
afraflacilla,plural,False,,afraflacillas,1,
aframax,verb-form,False,,aframaxed aframaxing,2,
afrobeat,verb-form,False,,afrobeated afrobeating,2,
afrotemperate,plural,False,,afrotemperates,1,
afterglow,verb-form,True,n,afterglowed,1,twl_scrabble_dictionary
afterplay,plural,False,,afterplays,1,
afterplay,verb-form,False,,afterplayed afterplaying,2,
afterwork,verb-form,False,,afterworked,1,
afucosylating,plural,False,,afucosylatings,1,
agalma,plural,False,,agalmas,1,
agamia,plural,False,,agamias,1,
agamospory,plural,False,,agamospories,1,
aganglionic,plural,False,,aganglionics,1,
agaragar,plural,False,,agaragars,1,
agariciform,plural,False,,agariciforms,1,
agaroses,verb-form,False,,agarosesed agarosesing,2,twl_scrabble_dictionary
agathis,plural,True,n,agathises,1,
agathis,verb-form,True,n,agathised agathising,2,
agathism,plural,False,,agathisms,1,
agatize,gerund-plural,False,,agatizings,1,twl_scrabble_dictionary
agendize,plural,False,,agendizes,1,
agentiality,plural,False,,agentialities,1,
ageostrophy,plural,False,,ageostrophies,1,
agespecificity,plural,False,,agespecificities,1,
agglomerative,plural,True,s,agglomeratives,1,
agglomerator,plural,True,n,agglomerators,1,
agglutinability,plural,False,,agglutinabilities,1,twl_scrabble_dictionary
agglutinatory,plural,False,,agglutinatories,1,
aggrandissement,plural,False,,aggrandissements,1,
aggregate,gerund-plural,True,nsv,aggregatings,1,twl_scrabble_dictionary
aggregativity,plural,False,,aggregativities,1,
aggregatory,plural,False,,aggregatories,1,
aggregometry,plural,False,,aggregometries,1,
aggrephagy,plural,False,,aggrephagies,1,
aggress,gerund-plural,True,v,aggressings,1,twl_scrabble_dictionary
aggrieve,gerund-plural,True,v,aggrievings,1,twl_scrabble_dictionary
aggro,gerund-plural,True,n,aggroings,1,twl_scrabble_dictionary
aggrouping,plural,True,v,aggroupings,1,
aghiasma,plural,False,,aghiasmas,1,
agist,gerund-plural,False,,agistings,1,twl_scrabble_dictionary
agitas,plural,False,,agitases,1,twl_scrabble_dictionary
agitate,gerund-plural,True,v,agitatings,1,twl_scrabble_dictionary
aglet,verb-form,True,n,agletted agletting,2,twl_scrabble_dictionary
agluconic,plural,False,,agluconics,1,
aglyphodont,plural,False,,aglyphodonts,1,
agmark,plural,False,,agmarks,1,
agmatine,plural,False,,agmatines,1,
agminate,plural,False,,agminates,1,twl_scrabble_dictionary
agmination,plural,False,,agminations,1,
agnacy,plural,False,,agnacies,1,
